q_id,question,crop,question_type,llm,answer,time_s,tokens,rouge1,rouge2,rougeL,bleu1,bleu2,bleu4,meteor,relevance,completeness,practicality,heuristic_avg,combined_score
3,How to control stem borer in paddy crop?,rice,howto,Cerebras — GPT-OSS 120B,"**Crop:** Rice (paddy) – focus on preventing the pink‑stem‑borer (PSB) attack during the rice season itself, because heavy PSB damage in the previous rice crop can also affect the succeeding wheat crop.

---

### 1. Choose the right rice variety  
| Action | Detail |
|--------|--------|
| **Variety type** | Plant **short‑ to medium‑duration** rice varieties (≈ 90‑120 days). |
| **Why** | Shorter crop duration leaves more time for straw‑management after harvest and reduces the amount of standing straw that serves as a shelter for PSB larvae. |

---

### 2. Straw‑management after harvest (critical for PSB control)  

| Step | What to do | Quantity / Timing |
|------|------------|--------------------|
| **a. Straw incorporation (light soils)** | If the field has a **light‑textured** soil, **incorporate** the paddy straw into the soil rather than leaving it on the surface. | Do this immediately after rice harvest (within 2 days). |
| **b. Straw chopping & mulching (medium &",0.75,400,0.3961,0.1854,0.2319,0.1457,0.0644,0.0214,0.2629,1.0,1.0,0.75,0.9167,0.5724
3,How to control stem borer in paddy crop?,rice,howto,Sarvam AI — Sarvam-105B,"Based on the provided context, here is the advice for controlling stem borer in paddy crop:

- **Crop Name:** Paddy
- **Disease/Pest:** Pink Stem Borer
- **Treatment:**
    1.  Grow recommended short to medium duration rice varieties.
    2.  Prefer to irrigate the fields during the daytime.
    3.  If severe damage is observed, avoid sowing wheat in the month of October in the succeeding crop.
- **Timing:**
    1.  Grow short to medium duration varieties to provide more time for straw management and minimize infestation in the next crop.
    2.  Irrigate fields during the day to maximize bird predation of the insects.
    3.  The decision to avoid sowing wheat in October is based on damage observed in the *previous* paddy crop.
- **Quantities:** Not specified in the context.",2.1,186,0.5417,0.2737,0.3646,0.3333,0.2275,0.1376,0.4762,1.0,1.0,1.0,1.0,0.69
4,What is the optimum temperature for rice cultivation?,rice,factual,Groq — LLaMA 3.1 8B,"Based on the provided context, the optimum temperature for rice cultivation is between 30-32°C. This is mentioned in the AGRICULTURE.pdf, Page 13, under the climate requirement for rice (Oryza sativa L.).",0.39,51,0.5361,0.4421,0.3918,0.3012,0.2579,0.2037,0.3633,1.0,0.3,0.25,0.5167,0.4452
4,What is the optimum temperature for rice cultivation?,rice,factual,Cohere — Command-R,"The optimum temperature for rice cultivation is between 30-32°C, with a maximum of 36-38°C and a minimum of 10-12°C. Rice thrives in tropical and subtropical hot and humid climates, with high humidity being a key factor for its growth. The minimum temperature required for germination, flowering, and grain formation is 10°C, 23°C, and 20°C, respectively. 

It is best to harvest rice at the proper maturity stage, and it is advisable to avoid harvesting during the night. In Punjab, high rice productivity can be expected with maximum temperatures ranging from 32-35°C to 34-40°C, depending on the variety.",9.56,161.0,0.407,0.2,0.2209,0.3694,0.2318,0.1561,0.371,1.0,1.0,0.75,0.9167,0.6028
4,What is the optimum temperature for rice cultivation?,rice,factual,Cerebras — GPT-OSS 120B,"**Optimum Temperature for Rice (Oryza sativa L.)**

| Parameter | Optimum Range (°C) |
|-----------|-------------------|
| **Day‑time (maximum) temperature** | **36 – 38 °C** (acceptable up to 34‑40 °C) |
| **Night‑time (minimum) temperature** | **10 – 12 °C** (must not fall below 10 °C) |
| **Overall ideal temperature for growth** | **30 – 32 °C** (average daily temperature) |

**Key Points from the Context**

- The **maximum temperature** that gives high productivity in Punjab is 34‑40 °C (with specific optimum windows of 33‑35 °C and 32‑35 °C).  
- The **AGRICULTURE.pdf** source lists the optimum maximum temperature as **36‑38 °C** and the optimum minimum as **10‑12 °C**, with an overall ideal daily temperature of **30‑32 °C**.  
- Minimum temperatures required for critical",0.75,400,0.3503,0.1257,0.2147,0.1429,0.064,0.0209,0.1917,1.0,1.0,0.75,0.9167,0.5555
4,What is the optimum temperature for rice cultivation?,rice,factual,Sarvam AI — Sarvam-105B,"Based on the provided context, the optimum temperature for rice cultivation is:

- **Maximum Temperature:** 36 - 38°C
- **Minimum Temperature:** 10 - 12°C

This information is found in the ""AGRICULTURE.pdf"" document on Page 13.",1.03,66,0.4948,0.3789,0.3711,0.3349,0.2815,0.2224,0.2744,1.0,0.3,0.25,0.5167,0.4287
5,What fertilizer schedule should be followed for irrigated rice?,rice,howto,Groq — LLaMA 3.1 8B,"Based on the provided context, the fertilizer schedule for irrigated rice should be as follows:

1. **Basal Application**: 
   - Entire P (phosphorus) at 25 kg/ha to be applied in the last plough or at the time of incorporation of green manure/compost.
   - FYM (Farm Yard Manure) enriched with fertilizer phosphorus (P at 25 kg/ha) to be applied at 750 kg/ha.

2. **Split Application**:
   - Nitrogen (N) and Potassium (K2O) to be applied in three splits:
     - First split: 20-25 days after germination (25 kg N and 12.5 kg K2O)
     - Second split: 40-45 days after germination (25 kg N and 12.5 kg K2O)
     - Third split: 60-65 days after germination (25 kg N and 12.5 kg K2O)

This fertilizer schedule is applicable for both transplanted and direct seeded lowland rice.",0.69,224,0.6607,0.4234,0.4821,0.4251,0.316,0.2039,0.6738,1.0,1.0,1.0,1.0,0.7526
5,What fertilizer schedule should be followed for irrigated rice?,rice,howto,Cohere — Command-R,"For irrigated rice, the recommended fertilizer schedule is as follows:

- Apply a basal dose of 750 kg of Farm Yard Manure (FYM) enriched with fertilizer phosphorus (P at 25 kg/ha) at the time of the last plough or when incorporating green manure/compost.
- Follow this with a micro-nutrient and biofertilizer application as recommended for transplanted rice.
- Nitrogen (N) and Potassium (K) should be applied in three splits: at 20-25 days, 40-45 days, and 60-65 days after germination. Each split should consist of 25 kg N and 12.5 kg K2O.
- For direct wet-seeded lowland rice, the fertilizer recommendation is the same as for transplanted rice.

It is important to note that these schedules and quantities are blanket recommendations, and for higher yields and better grain quality, it is advisable to conduct a soil test and apply fertilizers accordingly. The use of nitrogen should be judicious, and phosphorus application can be omitted if the rice follows a wheat crop that has received the recommended dose of phosphatic fertilizer.

Additionally, for better weed management, it is suggested to adopt direct seeding of rice from June onwards and use appropriate weed control methods, such as the Cono-weeder, especially in fields with green manure incorporation.",27.39,294.0,0.4094,0.2432,0.2886,0.2672,0.1924,0.111,0.4398,1.0,1.0,1.0,1.0,0.6561
5,What fertilizer schedule should be followed for irrigated rice?,rice,howto,Cerebras — GPT-OSS 120B,"**Crop:** Irrigated (transplanted or direct‑wet‑seeded) rice  
**Target fertilizer ratio (N : P₂O₅ : K₂O",0.61,400,0.0755,0.0,0.0755,0.0186,0.0072,0.0022,0.042,1.0,0.3,0.5,0.6,0.3244
5,What fertilizer schedule should be followed for irrigated rice?,rice,howto,Sarvam AI — Sarvam-105B,"Based on the provided context, the fertilizer schedule for irrigated rice is as follows:

*   **Crop Name:** Rice
*   **Disease/Pest:** Not specified in the context for this schedule.
*   **Treatment:** Fertilizer application
*   **Timing:**
    *   **Basal Dose:** Apply 75 kg N, 25 kg P₂O₅, and 37.5 kg K₂O per hectare. This should be applied at the time of the last plough or when incorporating green manure/compost.
    *   **Top Dressing (Splits):** Apply Nitrogen (N) and Potassium (K) in three splits.
        *   **First Split:** 25 kg N and 12.5 kg K₂O at 20-25 days after germination.
        *   **Second Split:** 25 kg N and 12.5 kg K₂O at 40-45 days after germination.
        *   **Third Split:** 25 kg N and 12.5 kg K₂O at 60-65 days after germination.
*   **Quantities:**
    *   **Basal Dose:** 75 kg N, 25 kg P₂O₅, 37.5 kg K₂O per hectare.
    *   **Each Split:** 25 kg N and 12.5 kg K₂O per hectare.",1.96,313,0.5703,0.3887,0.4819,0.2961,0.2343,0.1453,0.6115,1.0,1.0,1.0,1.0,0.7261
6,What is the seed rate for wheat per hectare?,wheat,factual,Groq — LLaMA 3.1 8B,"According to the given context, the seed rate for wheat is 40 kg per acre. To convert this to hectares, we know that 1 acre is approximately equal to 0.4047 hectares.

So, the seed rate for wheat per hectare would be:
40 kg/acre * 0.4047 hectares/acre ≈ 16.19 kg/hectare

However, the context also mentions that for SML 668, the seed rate is 15 kg per acre, and for other varieties, it is 12 kg per acre. But these rates are not converted to hectares.

Therefore, the seed rate for wheat per hectare can be approximated as 16.19 kg/hectare, but with the given context, we can also consider the rates for SML 668 (15 kg/acre) and other varieties (12 kg/acre).",0.68,179,0.6368,0.4623,0.4279,0.4892,0.4168,0.3107,0.6012,1.0,1.0,1.0,1.0,0.747
6,What is the seed rate for wheat per hectare?,wheat,factual,Cohere — Command-R,"The seed rate for wheat per acre is recommended to be 12 kg for most varieties, with a higher rate of 15 kg per acre suggested for the SML 668 variety. 

To convert this to a per-hectare rate, we can use the fact that 1 acre is approximately 0.4047 hectares. Therefore, the seed rate for wheat per hectare would be:
- 12 kg/acre * (1 hectare / 0.4047 acres) = 29.66 kg/hectare (rounded to two decimal places) for most varieties.
- 15 kg/acre * (1 hectare / 0.4047 acres) = 37.08 kg/hectare (rounded to two decimal places) for the SML 668 variety.

It is important to note that these rates are for wheat grown for grain. If the wheat is intended for forage, the seed rate should be increased to 80-100 kg per hectare in rainfed and dryland conditions, and approximately 110 kg per hectare for irrigated crops. 

Additionally, the seed should be inoculated with a single packet of consortium biofertilizer (Rhizobium sp. LSMR-1 and Rhizobacterium RB-3) at the time of sowing, and treated with recommended pesticides to protect against termite attack. 

Wheat should be sown from the last week of October to the first week of November, utilizing zero-tillage practices to save time, energy, and money.",33.67,336.0,0.4111,0.2386,0.3206,0.2574,0.1954,0.1348,0.4008,1.0,1.0,1.0,1.0,0.6584
6,What is the seed rate for wheat per hectare?,wheat,factual,Cerebras — GPT-OSS 120B,"**Seed rate for wheat (per hectare)**  

| Wheat variety / situation | Seed rate given in the source (kg / acre) | Approx. seed rate (kg / hectare) |
|---------------------------|-------------------------------------------|---------------------------------|
| **SML 668** (a common wheat line) | 15 kg / acre | **≈ 37 kg / ha** (15 × 2.47) |
| **Other wheat varieties** | 12 kg / acre | **≈ 30 kg / ha** (12 × 2.47) |
| **General recommendation",0.77,400,0.416,0.1789,0.304,0.1543,0.0876,0.0279,0.1672,1.0,0.7,1.0,0.9,0.5644
6,What is the seed rate for wheat per hectare?,wheat,factual,Sarvam AI — Sarvam-105B,I don't have enough information on this topic.,0.46,13,0.0241,0.0,0.0241,0.0002,0.0001,0.0,0.0211,0.5,0.3,0.25,0.35,0.1836
7,How to manage yellow rust in wheat?,wheat,howto,Groq — LLaMA 3.1 8B,"To manage yellow rust in wheat, follow these steps:

1. **Crop Selection**: Choose a wheat variety that is resistant to yellow rust, such as DBW 222 (2020). This variety has been recommended for cultivation in the Punjab state except sub-mountainous regions.

2. **Monitoring**: Regularly monitor the fields from the second week of December onward for yellow rust.

3. **Control Initial Appearance**: Control the initial appearance of yellow rust in patches to check its further spread.

4. **Seed Treatment**: To produce Karnal bunt free seed, spray Tilt 25 EC at ear emergence.

5. **Fungicide Application**: Apply Furadan 3 G at sowing time to control cereal cyst nematode present in the soil.

6. **Sowing Time and Depth**: Sow the crop late and shallow to reduce seedling infection.

Note: For more information on brown rust, refer to page number 4 of NIPHM – Wheat IPM Package.pdf.",0.59,203,0.5556,0.4393,0.5185,0.3385,0.2924,0.2331,0.6556,1.0,1.0,1.0,1.0,0.7453
7,How to manage yellow rust in wheat?,wheat,howto,Cohere — Command-R,"To manage yellow rust (stripe rust) in wheat, farmers can follow these practical steps:

1. Monitor fields regularly: From the second week of December onwards, keep a close eye on your wheat fields for any signs of yellow rust. Early detection is crucial to prevent its spread.

2. Control initial patches: If you notice yellow rust appearing in patches, take immediate action to control its spread. This can help prevent further infestation and minimize yield losses.

3. Seed treatment: To produce Karnal bunt-free seed, spray Tilt 25 EC at ear emergence. This will help protect the crop from this specific disease.

4. Soil treatment: To control cereal cyst nematode, apply 13 kg per acre of Furadan 3 G at sowing time. This will help manage the nematode population in the soil.

5. Gypsum application: Apply 100 kg of gypsum per acre to address sulphur deficiency in the soil. This nutrient is essential for wheat growth and can help improve overall crop health.

6. Variety selection: Choose wheat varieties that are resistant to yellow rust. For example, DBW 222 is a bread wheat variety recommended for cultivation in Punjab, except in sub-mountainous regions. It has moderate susceptibility to yellow rust and offers an average grain yield of 17.2 quintals per acre.

7. Late and shallow sowing: To reduce seedling infection, consider sowing the crop late and shallow. This practice can help minimize the impact of yellow rust on young wheat plants.

8. Regular scouting: Continue to monitor your fields throughout the growing season. Yellow rust pustules on leaves are a clear indication of the disease. Stay vigilant and take prompt action if you notice any signs of rust.

By following these steps, farmers can effectively manage yellow rust in their wheat crops and minimize potential yield losses. It is important to stay informed about the specific recommendations and guidelines provided by",26.71,400.0,0.3532,0.2298,0.2857,0.2006,0.161,0.1123,0.5341,1.0,1.0,1.0,1.0,0.6606
7,How to manage yellow rust in wheat?,wheat,howto,Cerebras — GPT-OSS 120B,**Crop:** Wheat (Rabi season,0.89,400,0.0263,0.0,0.0263,0.0001,0.0,0.0,0.0068,1.0,0.3,0.0,0.4333,0.2241
7,How to manage yellow rust in wheat?,wheat,howto,Sarvam AI — Sarvam-105B,"To manage yellow rust in wheat, follow these steps:

- **crop name**: Wheat
- **disease/pest**: Yellow rust
- **treatment**: Spray Tilt 25 EC at ear emergence to produce Karnal bunt free seed. Regularly monitor the fields from the second week of December onward for yellow rust and control its initial appearance in patches to prevent further spread.
- **timing**: Monitor from the second week of December onward. Spray Tilt 25 EC at ear emergence.
- **quantities**: Apply Tilt 25 EC at ear emergence (quantity not specified in the context).",0.99,124,0.6242,0.4129,0.4459,0.4146,0.3399,0.248,0.529,1.0,1.0,1.0,1.0,0.7309
8,What are the critical irrigation stages in wheat?,wheat,factual,Groq — LLaMA 3.1 8B,"Based on the provided context, the critical irrigation stages in wheat are:

1. Immediately after sowing (I)
2. Crown root initiation (15-20 DAS)
3. Active tillering stage (35-40 DAS)
4. Flowering stage (50-55 DAS)
5. Grain filling stage (70-75 DAS)

These stages are mentioned in the context from AGRICULTURE.pdf, Page 136.",0.4,92,0.5846,0.375,0.5231,0.4968,0.3906,0.266,0.5103,1.0,0.7,0.5,0.7333,0.6021
8,What are the critical irrigation stages in wheat?,wheat,factual,Cohere — Command-R,"The critical irrigation stages for wheat are as follows:

- Immediately after sowing
- Crown root initiation (15-20 days after sowing, DAS)
- Active tillering stage (35-40 DAS)
- Flowering stage (50-55 DAS)
- Grain filling stage (70-75 DAS)

Wheat typically requires a minimum of 5 irrigations, with the number of irrigations depending on soil type and rainfall conditions. It is essential to provide adequate water during these critical stages to ensure optimal growth and yield.",9.71,121.0,0.7383,0.4898,0.5235,0.7079,0.5456,0.3744,0.6618,1.0,0.7,0.75,0.8167,0.6956
8,What are the critical irrigation stages in wheat?,wheat,factual,Cerebras — GPT-OSS 120B,"**Crop:** Wheat (Rabi season)  

**Critical irrigation stages (minimum 5 irrigations)**  

| Irrigation # | Timing (Days After Sowing – DAS) | Critical growth stage | Purpose of water |
|--------------|----------------------------------|-----------------------|------------------|
| I | 0 – 2 DAS (immediately after sowing) | Seedling establishment | Ensures good germination and early root development. |
| II | 15 – 20 DAS | Crown‑root initiation (CRI) | Promotes development of a strong crown‑root system. |
| III | 35 – 40 DAS | Active tillering stage | Supports tiller formation and leaf expansion. |
| IV | 50 – 55 DAS | Flowering stage | Supplies water for spikelet emergence and pollination. |
| V | 70 – 75 DAS | Grain‑filling stage | Maintains grain moisture for weight gain and quality. |

**Practical steps for each irrigation**

1. **Prepare the field** – Ensure the soil is leveled and drainage is adequate to avoid waterlogging.  
2. **Apply water** – Use surface irrigation, drip or sprinkler as per farm resources; aim for 40‑50 % depletion of the available soil moisture (ASM) on most soils, up to 80",0.79,400,0.4818,0.2202,0.2909,0.2109,0.0961,0.0214,0.3734,1.0,1.0,1.0,1.0,0.646
8,What are the critical irrigation stages in wheat?,wheat,factual,Sarvam AI — Sarvam-105B,"Based on the context provided, the critical irrigation stages in wheat are:

1.  **Immediately after sowing**
2.  **Crown root initiation (15-20 DAS)**
3.  **Active tillering stage (35-40 DAS)**
4.  **Flowering stage (50-55 DAS)**
5.  **Grain filling stage (70-75 DAS)**

The crop requires a minimum of 5 irrigations at these specific stages.",0.85,106,0.6977,0.4409,0.5426,0.6136,0.4751,0.3399,0.5617,1.0,0.7,0.5,0.7333,0.6344
9,What is the recommended sowing time for wheat in rabi season?,wheat,factual,Groq — LLaMA 3.1 8B,The recommended sowing time for wheat in the rabi season is between November 10-30th for long duration varieties (135-140 days) and up to December 15th for short duration varieties (120-125 days).,0.4,48,0.4466,0.3366,0.3883,0.2256,0.1926,0.1451,0.2776,1.0,0.3,0.5,0.6,0.4572
9,What is the recommended sowing time for wheat in rabi season?,wheat,factual,Cohere — Command-R,"The recommended sowing time for wheat in the rabi season is the first fortnight of November, with the ideal sowing time being from the 15th of October to the first week of November. 

For long duration varieties (135-140 days), sowing can commence from the fourth week of October to protect the crop from high temperatures near maturity. Short duration varieties (120-125 days) can be sown up to the 15th of December, but any delay beyond this date will result in a drastic reduction in yield. 

It is important to note that the sowing time may vary slightly depending on the zone, and farmers should aim to sow their wheat crop at the optimum time to ensure maximum yield potential. 

As for irrigation, in light-textured soils, a light irrigation should be applied 25-30 days after sowing when using Happy Seeder/Smart Seeder. In medium to heavy-textured soils, irrigation should be applied 30-35 days after sowing. For wheat sown with Super Seeder, irrigation should be applied as recommended for conventional methods. 

Pre-sowing irrigation for wheat is recommended for 40 minutes about one week prior to sowing. 

By following these guidelines and sowing at the recommended time, farmers can ensure a successful wheat crop during the rabi season.",87.53,292.0,0.4342,0.2939,0.3772,0.2876,0.2398,0.1786,0.5024,1.0,1.0,1.0,1.0,0.6865
